# SentenceBreakProperty-5.0.0.txt
# Date: 2006-03-09, 23:14:25 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

0221          ; Lower # L&       LATIN SMALL LETTER D WITH CURL
0223          ; Lower # L&       LATIN SMALL LETTER OU
0225          ; Lower # L&       LATIN SMALL LETTER Z WITH HOOK
0227          ; Lower # L&       LATIN SMALL LETTER A WITH DOT ABOVE
0229          ; Lower # L&       LATIN SMALL LETTER E WITH CEDILLA
022B          ; Lower # L&       LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
022D          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND MACRON
022F          ; Lower # L&       LATIN SMALL LETTER O WITH DOT ABOVE
0231          ; Lower # L&       LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0233..0239    ; Lower # L&   [7] LATIN SMALL LETTER Y WITH MACRON..LATIN SMALL LETTER QP DIGRAPH
023C          ; Lower # L&       LATIN SMALL LETTER C WITH STROKE
023F..0240    ; Lower # L&   [2] LATIN SMALL LETTER S WITH SWASH TAIL..LATIN SMALL LETTER Z WITH SWASH TAIL
0242          ; Lower # L&       LATIN SMALL LETTER GLOTTAL STOP
0247          ; Lower # L&       LATIN SMALL LETTER E WITH STROKE
0249          ; Lower # L&       LATIN SMALL LETTER J WITH STROKE
024B          ; Lower # L&       LATIN SMALL LETTER Q WITH HOOK TAIL
024D          ; Lower # L&       LATIN SMALL LETTER R WITH STROKE
024F..0293    ; Lower # L&  [69] LATIN SMALL LETTER Y WITH STROKE..LATIN SMALL LETTER EZH WITH CURL
0295..02AF    ; Lower # L&  [27] LATIN LETTER PHARYNGEAL VOICED FRICATIVE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0..02B8    ; Lower # Lm   [9] MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02C0..02C1    ; Lower # Lm   [2] MODIFIER LETTER GLOTTAL STOP..MODIFIER LETTER REVERSED GLOTTAL STOP
02E0..02E4    ; Lower # Lm   [5] MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
037A          ; Lower # Lm       GREEK YPOGEGRAMMENI
037B..037D    ; Lower # L&   [3] GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
0390          ; Lower # L&       GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
03AC..03CE    ; Lower # L&  [35] GREEK SMALL LETTER ALPHA WITH TONOS..GREEK SMALL LETTER OMEGA WITH TONOS
03D0..03D1    ; Lower # L&   [2] GREEK BETA SYMBOL..GREEK THETA SYMBOL
03D5..03D7    ; Lower # L&   [3] GREEK PHI SYMBOL..GREEK KAI SYMBOL
03D9          ; Lower # L&       GREEK SMALL LETTER ARCHAIC KOPPA
03DB          ; Lower # L&       GREEK SMALL LETTER STIGMA
03DD          ; Lower # L&       GREEK SMALL LETTER DIGAMMA
03DF          ; Lower # L&       GREEK SMALL LETTER KOPPA
03E1          ; Lower # L&       GREEK SMALL LETTER SAMPI
03E3          ; Lower # L&       COPTIC SMALL LETTER SHEI
03E5          ; Lower # L&       COPTIC SMALL LETTER FEI
03E7          ; Lower # L&       COPTIC SMALL LETTER KHEI
03E9          ; Lower # L&       COPTIC SMALL LETTER HORI
03EB          ; Lower # L&       COPTIC SMALL LETTER GANGIA
03ED          ; Lower # L&       COPTIC SMALL LETTER SHIMA
03EF..03F3    ; Lower # L&   [5] COPTIC SMALL LETTER DEI..GREEK LETTER YOT
03F5          ; Lower # L&       GREEK LUNATE EPSILON SYMBOL
03F8          ; Lower # L&       GREEK SMALL LETTER SHO
03FB..03FC    ; Lower # L&   [2] GREEK SMALL LETTER SAN..GREEK RHO WITH STROKE SYMBOL
0430..045F    ; Lower # L&  [48] CYRILLIC SMALL LETTER A..CYRILLIC SMALL LETTER DZHE
0461          ; Lower # L&       CYRILLIC SMALL LETTER OMEGA
0463          ; Lower # L&       CYRILLIC SMALL LETTER YAT
0465          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED E
0467          ; Lower # L&       CYRILLIC SMALL LETTER LITTLE YUS
0469          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
046B          ; Lower # L&       CYRILLIC SMALL LETTER BIG YUS
046D          ; Lower # L&       CYRILLIC SMALL LETTER IOTIFIED BIG YUS
046F          ; Lower # L&       CYRILLIC SMALL LETTER KSI
0471          ; Lower # L&       CYRILLIC SMALL LETTER PSI
0473          ; Lower # L&       CYRILLIC SMALL LETTER FITA
0475          ; Lower # L&       CYRILLIC SMALL LETTER IZHITSA
0477          ; Lower # L&       CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0479          ; Lower # L&       CYRILLIC SMALL LETTER UK
047B          ; Lower # L&       CYRILLIC SMALL LETTER ROUND OMEGA
047D          ; Lower # L&       CYRILLIC SMALL LETTER OMEGA WITH TITLO
047F          ; Lower # L&       CYRILLIC SMALL LETTER OT
0481          ; Lower # L&       CYRILLIC SMALL LETTER KOPPA
048B          ; Lower # L&       CYRILLIC SMALL LETTER SHORT I WITH TAIL
048D          ; Lower # L&       CYRILLIC SMALL LETTER SEMISOFT SIGN
048F          ; Lower # L&       CYRILLIC SMALL LETTER ER WITH TICK
0491          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH STROKE
0495          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
0497          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH DESCENDER
0499          ; Lower # L&       CYRILLIC SMALL LETTER ZE WITH DESCENDER
049B          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH DESCENDER
049D          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
049F          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH STROKE
04A1          ; Lower # L&       CYRILLIC SMALL LETTER BASHKIR KA
04A3          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH DESCENDER
04A5          ; Lower # L&       CYRILLIC SMALL LIGATURE EN GHE
04A7          ; Lower # L&       CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
04A9          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN HA
04AB          ; Lower # L&       CYRILLIC SMALL LETTER ES WITH DESCENDER
04AD          ; Lower # L&       CYRILLIC SMALL LETTER TE WITH DESCENDER
04AF          ; Lower # L&       CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Lower # L&       CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04B3          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH DESCENDER
04B5          ; Lower # L&       CYRILLIC SMALL LIGATURE TE TSE
04B7          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH DESCENDER
04B9          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE
04BB          ; Lower # L&       CYRILLIC SMALL LETTER SHHA
04BD          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN CHE
04BF          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04C2          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH BREVE
04C4          ; Lower # L&       CYRILLIC SMALL LETTER KA WITH HOOK
04C6          ; Lower # L&       CYRILLIC SMALL LETTER EL WITH TAIL
04C8          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH HOOK
04CA          ; Lower # L&       CYRILLIC SMALL LETTER EN WITH TAIL
04CC          ; Lower # L&       CYRILLIC SMALL LETTER KHAKASSIAN CHE
04CE..04CF    ; Lower # L&   [2] CYRILLIC SMALL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D1          ; Lower # L&       CYRILLIC SMALL LETTER A WITH BREVE
04D3          ; Lower # L&       CYRILLIC SMALL LETTER A WITH DIAERESIS
04D5          ; Lower # L&       CYRILLIC SMALL LIGATURE A IE
04D7          ; Lower # L&       CYRILLIC SMALL LETTER IE WITH BREVE
04D9          ; Lower # L&       CYRILLIC SMALL LETTER SCHWA
04DB          ; Lower # L&       CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
04DD          ; Lower # L&       CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
04DF          ; Lower # L&       CYRILLIC SMALL LETTER ZE WITH DIAERESIS
04E1          ; Lower # L&       CYRILLIC SMALL LETTER ABKHASIAN DZE
04E3          ; Lower # L&       CYRILLIC SMALL LETTER I WITH MACRON
04E5          ; Lower # L&       CYRILLIC SMALL LETTER I WITH DIAERESIS
04E7          ; Lower # L&       CYRILLIC SMALL LETTER O WITH DIAERESIS
04E9          ; Lower # L&       CYRILLIC SMALL LETTER BARRED O
04EB          ; Lower # L&       CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS
04ED          ; Lower # L&       CYRILLIC SMALL LETTER E WITH DIAERESIS
04EF          ; Lower # L&       CYRILLIC SMALL LETTER U WITH MACRON
04F1          ; Lower # L&       CYRILLIC SMALL LETTER U WITH DIAERESIS
04F3          ; Lower # L&       CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
04F5          ; Lower # L&       CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F7          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH DESCENDER
04F9          ; Lower # L&       CYRILLIC SMALL LETTER YERU WITH DIAERESIS
04FB          ; Lower # L&       CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK
04FD          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH HOOK
04FF          ; Lower # L&       CYRILLIC SMALL LETTER HA WITH STROKE
0501          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DE
0503          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DJE
0505          ; Lower # L&       CYRILLIC SMALL LETTER KOMI ZJE
0507          ; Lower # L&       CYRILLIC SMALL LETTER KOMI DZJE
0509          ; Lower # L&       CYRILLIC SMALL LETTER KOMI LJE
050B          ; Lower # L&       CYRILLIC SMALL LETTER KOMI NJE
050D          ; Lower # L&       CYRILLIC SMALL LETTER KOMI SJE
050F          ; Lower # L&       CYRILLIC SMALL LETTER KOMI TJE
0511          ; Lower # L&       CYRILLIC SMALL LETTER REVERSED ZE
0513          ; Lower # L&       CYRILLIC SMALL LETTER EL WITH HOOK
0561..0587    ; Lower # L&  [39] ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LIGATURE ECH YIWN
1D00..1D2B    ; Lower # L&  [44] LATIN LETTER SMALL CAPITAL A..CYRILLIC LETTER SMALL CAPITAL EL
1D2C..1D61    ; Lower # Lm  [54] MODIFIER LETTER CAPITAL A..MODIFIER LETTER SMALL CHI
1D62..1D77    ; Lower # L&  [22] LATIN SUBSCRIPT SMALL LETTER I..LATIN SMALL LETTER TURNED G
1D78          ; Lower # Lm       MODIFIER LETTER CYRILLIC EN
1D79..1D9A    ; Lower # L&  [34] LATIN SMALL LETTER INSULAR G..LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
1D9B..1DBF    ; Lower # Lm  [37] MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1E01          ; Lower # L&       LATIN SMALL LETTER A WITH RING BELOW
1E03          ; Lower # L&       LATIN SMALL LETTER B WITH DOT ABOVE
1E05          ; Lower # L&       LATIN SMALL LETTER B WITH DOT BELOW
1E07          ; Lower # L&       LATIN SMALL LETTER B WITH LINE BELOW
1E09          ; Lower # L&       LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
1E0B          ; Lower # L&       LATIN SMALL LETTER D WITH DOT ABOVE
1E0D          ; Lower # L&       LATIN SMALL LETTER D WITH DOT BELOW
1E0F          ; Lower # L&       LATIN SMALL LETTER D WITH LINE BELOW
1E11          ; Lower # L&       LATIN SMALL LETTER D WITH CEDILLA
1E13          ; Lower # L&       LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E15          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON AND GRAVE
1E17          ; Lower # L&       LATIN SMALL LETTER E WITH MACRON AND ACUTE
1E19          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
1E1B          ; Lower # L&       LATIN SMALL LETTER E WITH TILDE BELOW
1E1D          ; Lower # L&       LATIN SMALL LETTER E WITH CEDILLA AND BREVE
1E1F          ; Lower # L&       LATIN SMALL LETTER F WITH DOT ABOVE
1E21          ; Lower # L&       LATIN SMALL LETTER G WITH MACRON
1E23          ; Lower # L&       LATIN SMALL LETTER H WITH DOT ABOVE
1E25          ; Lower # L&       LATIN SMALL LETTER H WITH DOT BELOW
1E27          ; Lower # L&       LATIN SMALL LETTER H WITH DIAERESIS
1E29          ; Lower # L&       LATIN SMALL LETTER H WITH CEDILLA
1E2B          ; Lower # L&       LATIN SMALL LETTER H WITH BREVE BELOW
1E2D          ; Lower # L&       LATIN SMALL LETTER I WITH TILDE BELOW
1E2F          ; Lower # L&       LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
1E31          ; Lower # L&       LATIN SMALL LETTER K WITH ACUTE
1E33          ; Lower # L&       LATIN SMALL LETTER K WITH DOT BELOW
1E35          ; Lower # L&       LATIN SMALL LETTER K WITH LINE BELOW
1E37          ; Lower # L&       LATIN SMALL LETTER L WITH DOT BELOW
1E39          ; Lower # L&       LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
1E3B          ; Lower # L&       LATIN SMALL LETTER L WITH LINE BELOW
1E3D          ; Lower # L&       LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
1E3F          ; Lower # L&       LATIN SMALL LETTER M WITH ACUTE
1E41          ; Lower # L&       LATIN SMALL LETTER M WITH DOT ABOVE
1E43          ; Lower # L&       LATIN SMALL LETTER M WITH DOT BELOW
1E45          ; Lower # L&       LATIN SMALL LETTER N WITH DOT ABOVE
1E47          ; Lower # L&       LATIN SMALL LETTER N WITH DOT BELOW
1E49          ; Lower # L&       LATIN SMALL LETTER N WITH LINE BELOW
1E4B          ; Lower # L&       LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E4D          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND ACUTE
1E4F          ; Lower # L&       LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
1E51          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON AND GRAVE
1E53          ; Lower # L&       LATIN SMALL LETTER O WITH MACRON AND ACUTE
1E55          ; Lower # L&       LATIN SMALL LETTER P WITH ACUTE
1E57          ; Lower # L&       LATIN SMALL LETTER P WITH DOT ABOVE
1E59          ; Lower # L&       LATIN SMALL LETTER R WITH DOT ABOVE
1E5B          ; Lower # L&       LATIN SMALL LETTER R WITH DOT BELOW
1E5D          ; Lower # L&       LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
1E5F          ; Lower # L&       LATIN SMALL LETTER R WITH LINE BELOW
1E61          ; Lower # L&       LATIN SMALL LETTER S WITH DOT ABOVE
1E63          ; Lower # L&       LATIN SMALL LETTER S WITH DOT BELOW
1E65          ; Lower # L&       LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
1E67          ; Lower # L&       LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
